vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,759.0,19.0,9.0,0.01,0.0,0.0
2020-12-31,813.0,20.0,9.0,0.01,0.0,0.0
2021-01-01,868.0,20.0,9.0,0.01,0.0,0.0
2021-01-02,914.0,20.0,9.0,0.02,0.0,0.0
2021-01-03,961.0,20.0,9.0,0.02,0.0,0.0
2021-01-04,1080.0,21.0,9.0,0.02,0.0,0.0
2021-01-05,1196.0,25.0,9.0,0.02,0.0,0.0
2021-01-06,1331.0,28.0,9.0,0.02,0.0,0.0
2021-01-07,1477.0,30.0,9.0,0.02,0.0,0.0
2021-01-08,2344.0,41.0,9.0,0.04,0.0,0.0
2021-01-09,2811.0,48.0,9.0,0.05,0.0,0.0
2021-01-10,3050.0,58.0,9.0,0.05,0.0,0.0
2021-01-11,5184.0,58.0,9.0,0.09,0.0,0.0
2021-01-12,8069.0,72.0,9.0,0.14,0.0,0.0
2021-01-13,12141.0,91.0,9.0,0.2,0.0,0.0
2021-01-14,16888.0,107.0,9.0,0.28,0.0,0.0
2021-01-15,22187.0,121.0,9.0,0.37,0.0,0.0
2021-01-16,23967.0,135.0,9.0,0.4,0.0,0.0
2021-01-17,24689.0,147.0,9.0,0.41,0.0,0.0
2021-01-18,32086.0,181.0,9.0,0.54,0.0,0.0
2021-01-19,40146.0,233.0,9.0,0.67,0.0,0.0
2021-01-20,49143.0,345.0,9.0,0.83,0.01,0.0
2021-01-21,56679.0,418.0,9.0,0.95,0.01,0.0
2021-01-22,64279.0,455.0,9.0,1.08,0.01,0.0
2021-01-23,68963.0,484.0,9.0,1.16,0.01,0.0
2021-01-24,73387.0,562.0,9.0,1.23,0.01,0.0
2021-01-25,85088.0,631.0,9.0,1.43,0.01,0.0
2021-01-26,97409.0,724.0,9.0,1.64,0.01,0.0
2021-01-27,110942.0,781.0,9.0,1.86,0.01,0.0
2021-01-28,125166.0,850.0,9.0,2.1,0.01,0.0
2021-01-29,138793.0,1564.0,9.0,2.33,0.03,0.0
2021-01-30,145848.0,1961.0,9.0,2.45,0.03,0.0
2021-01-31,151356.0,2178.0,9.0,2.54,0.04,0.0
2021-02-01,160353.0,4243.0,9.0,2.69,0.07,0.0
2021-02-02,169839.0,6701.0,9.0,2.85,0.11,0.0
2021-02-03,180997.0,10330.0,9.0,3.04,0.17,0.0
2021-02-04,189578.0,14649.0,9.0,3.18,0.25,0.0
2021-02-05,198799.0,19815.0,9.0,3.34,0.33,0.0
2021-02-06,203111.0,21436.0,9.0,3.41,0.36,0.0
2021-02-07,205415.0,22139.0,9.0,3.45,0.37,0.0
2021-02-08,209409.0,29450.0,9.0,3.52,0.49,0.0
2021-02-09,213048.0,37452.0,9.0,3.58,0.63,0.0
2021-02-10,216091.0,46265.0,9.0,3.63,0.78,0.0
2021-02-11,217532.0,49138.0,9.0,3.65,0.83,0.0
2021-02-12,217652.0,49168.0,9.0,3.66,0.83,0.0
2021-02-13,217770.0,49192.0,9.0,3.66,0.83,0.0
2021-02-14,218348.0,53010.0,9.0,3.67,0.89,0.0
2021-02-15,219580.0,63582.0,9.0,3.69,1.07,0.0
2021-02-16,221863.0,77128.0,9.0,3.73,1.3,0.0
2021-02-17,225280.0,92360.0,9.0,3.78,1.55,0.0
2021-02-18,229561.0,106403.0,9.0,3.86,1.79,0.0
2021-02-19,235245.0,120374.0,9.0,3.95,2.02,0.0
2021-02-20,239110.0,127821.0,9.0,4.02,2.15,0.0
2021-02-21,241178.0,133652.0,9.0,4.05,2.25,0.0
2021-02-22,247397.0,145042.0,9.0,4.16,2.44,0.0
2021-02-23,255389.0,156568.0,9.0,4.29,2.63,0.0
2021-02-24,263022.0,168021.0,9.0,4.42,2.82,0.0
2021-02-25,271607.0,177823.0,9.0,4.56,2.99,0.0
2021-02-26,281517.0,188344.0,9.0,4.73,3.16,0.0
2021-02-27,289850.0,193728.0,9.0,4.87,3.25,0.0
2021-02-28,296002.0,196260.0,9.0,4.97,3.3,0.0
2021-03-01,305686.0,199586.0,9.0,5.14,3.35,0.0
2021-03-02,315669.0,202959.0,9.0,5.3,3.41,0.0
2021-03-03,326879.0,205714.0,9.0,5.49,3.46,0.0
2021-03-04,339251.0,207524.0,9.0,5.7,3.49,0.0
2021-03-05,352916.0,208502.0,9.0,5.93,3.5,0.0
2021-03-06,361775.0,209183.0,9.0,6.08,3.51,0.0
2021-03-07,366554.0,209627.0,9.0,6.16,3.52,0.0
2021-03-08,380255.0,211113.0,9.0,6.39,3.55,0.0
2021-03-09,396997.0,212991.0,9.0,6.67,3.58,0.0
2021-03-10,415797.0,215741.0,9.0,6.98,3.62,0.0
2021-03-11,437802.0,219084.0,9.0,7.35,3.68,0.0
2021-03-12,462500.0,223907.0,9.0,7.77,3.76,0.0
2021-03-13,485878.0,227323.0,9.0,8.16,3.82,0.0
2021-03-14,505744.0,229088.0,9.0,8.5,3.85,0.0
2021-03-15,533150.0,234879.0,9.0,8.96,3.95,0.0
2021-03-16,562023.0,241814.0,9.0,9.44,4.06,0.0
2021-03-17,594853.0,249233.0,9.0,9.99,4.19,0.0
2021-03-18,627563.0,256769.0,10.0,10.54,4.31,0.0
2021-03-19,663656.0,266122.0,10.0,11.15,4.47,0.0
2021-03-20,693507.0,274289.0,10.0,11.65,4.61,0.0
2021-03-21,720525.0,279849.0,10.0,12.1,4.7,0.0
2021-03-22,750942.0,289594.0,10.0,12.61,4.86,0.0
2021-03-23,778956.0,299114.0,10.0,13.09,5.02,0.0
2021-03-24,802563.0,309499.0,10.0,13.48,5.2,0.0
2021-03-25,823795.0,321358.0,10.0,13.84,5.4,0.0
2021-03-26,846857.0,335198.0,10.0,14.23,5.63,0.0
2021-03-27,869968.0,343605.0,10.0,14.61,5.77,0.0
2021-03-28,886572.0,348376.0,10.0,14.89,5.85,0.0
2021-03-29,920743.0,361047.0,10.0,15.47,6.07,0.0
2021-03-30,947814.0,376419.0,10.0,15.92,6.32,0.0
2021-03-31,970839.0,394527.0,10.0,16.31,6.63,0.0
2021-04-01,993760.0,413448.0,10.0,16.69,6.95,0.0
2021-04-02,1012471.0,429476.0,10.0,17.01,7.21,0.0
2021-04-03,1031874.0,450916.0,10.0,17.33,7.57,0.0
2021-04-04,1048175.0,467160.0,10.0,17.61,7.85,0.0
2021-04-05,1075777.0,491946.0,10.0,18.07,8.26,0.0
2021-04-06,1102472.0,516702.0,10.0,18.52,8.68,0.0
2021-04-07,1127303.0,544186.0,10.0,18.94,9.14,0.0
2021-04-08,1150380.0,572907.0,10.0,19.32,9.62,0.0
2021-04-09,1171154.0,608343.0,10.0,19.67,10.22,0.0
2021-04-10,1188986.0,639965.0,10.0,19.97,10.75,0.0
2021-04-11,1208357.0,665213.0,10.0,20.3,11.17,0.0
2021-04-12,1225448.0,693687.0,10.0,20.59,11.65,0.0
2021-04-13,1243887.0,717241.0,10.0,20.9,12.05,0.0
2021-04-14,1263542.0,737688.0,10.0,21.23,12.39,0.0
2021-04-15,1282044.0,758202.0,10.0,21.54,12.74,0.0
2021-04-16,1302074.0,781802.0,10.0,21.87,13.13,0.0
2021-04-17,1318254.0,803789.0,10.0,22.14,13.5,0.0
2021-04-18,1332687.0,819238.0,10.0,22.39,13.76,0.0
2021-04-19,1349617.0,849502.0,10.0,22.67,14.27,0.0
2021-04-20,1371297.0,873520.0,10.0,23.04,14.67,0.0
2021-04-21,1396317.0,893781.0,10.0,23.46,15.01,0.0
2021-04-22,1421233.0,913206.0,10.0,23.87,15.34,0.0
2021-04-23,1445669.0,934745.0,11.0,24.28,15.7,0.0
2021-04-24,1464299.0,959065.0,11.0,24.6,16.11,0.0
2021-04-25,1484032.0,977352.0,11.0,24.93,16.42,0.0
2021-04-26,1503179.0,1003381.0,11.0,25.25,16.86,0.0
2021-04-27,1524577.0,1028093.0,12.0,25.61,17.27,0.0
2021-04-28,1546879.0,1049659.0,12.0,25.99,17.63,0.0
2021-04-29,1572784.0,1069071.0,12.0,26.42,17.96,0.0
2021-04-30,1596855.0,1091855.0,12.0,26.82,18.34,0.0
2021-05-01,1620353.0,1105281.0,12.0,27.22,18.57,0.0
2021-05-02,1640325.0,1121714.0,12.0,27.55,18.84,0.0
2021-05-03,1661695.0,1133665.0,12.0,27.91,19.04,0.0
2021-05-04,1683656.0,1145736.0,12.0,28.28,19.25,0.0
2021-05-05,1704619.0,1160252.0,12.0,28.63,19.49,0.0
2021-05-06,1729178.0,1173501.0,12.0,29.05,19.71,0.0
2021-05-07,1752049.0,1190307.0,12.0,29.43,20.0,0.0
2021-05-08,1770983.0,1206125.0,12.0,29.75,20.26,0.0
2021-05-09,1788879.0,1219564.0,12.0,30.05,20.49,0.0
2021-05-10,1818197.0,1236935.0,12.0,30.54,20.78,0.0
2021-05-11,1845063.0,1257614.0,13.0,30.99,21.13,0.0
2021-05-12,1856393.0,1276893.0,13.0,31.18,21.45,0.0
2021-05-13,1857767.0,1277289.0,14.0,31.21,21.46,0.0
2021-05-14,1874822.0,1316424.0,14.0,31.49,22.11,0.0
2021-05-15,1897126.0,1342118.0,16.0,31.87,22.55,0.0
2021-05-16,1917267.0,1365106.0,16.0,32.21,22.93,0.0
2021-05-17,1934371.0,1387911.0,16.0,32.49,23.31,0.0
2021-05-18,1953180.0,1409517.0,16.0,32.81,23.68,0.0
2021-05-19,1972095.0,1431125.0,16.0,33.13,24.04,0.0
2021-05-20,1996179.0,1453837.0,16.0,33.53,24.42,0.0
2021-05-21,2017834.0,1481345.0,18.0,33.9,24.88,0.0
